TF, Gene	Bulk	MicroArray
("Stat3", "Map3k8")	false	true
("Irf4", "Map4k4")	false	false
("Rorc", "Map4k4")	false	false
("Batf", "Mapk14")	false	false
("Irf4", "Mapk14")	false	false
("Stat3", "Mapk14")	true	true
("Rorc", "Mapk14")	false	false
("Batf", "Mapkapk2")	false	false
("Batf", "Mapkbp1")	false	false
("Fosl2", "Mapkbp1")	false	false
("Rorc", "Marcks")	false	false
("Batf", "Marcksl1")	false	false
("Hif1a", "Max")	false	false
("Batf", "Mbp")	true	true
("Fosl2", "Me2")	false	false
("Hif1a", "Me2")	true	false
("Batf", "Mgll")	false	false
("Irf4", "Mgll")	true	true
("Stat3", "Mgll")	true	true
("Rorc", "Mgll")	true	false
("Fosl2", "Mgll")	false	false
("Hif1a", "Mllt6")	false	false
("Irf4", "Mmd")	false	false
("Stat3", "Mpzl2")	false	false
("Etv6", "Mpzl2")	false	false
